# food_fibers.csv, junction food -> fiber type, with coarse per-serving grams (SPEC §5). Composite PK (food_id,fiber_id).
# relative_amount enum: minor|moderate|primary (the food's contribution of THAT fiber).
#
# 🔒 FENCE 4 (SPEC §14): est_grams_per_serving is COARSE, DIRECTIONAL placeholder data for a single fiber
#    FRACTION (not total dietary fiber), RD-REVIEW-REQUIRED. The app must never surface these as precise
#    measured grams ("never 12.3g inulin", SPEC §1/§3). Specific fiber-fraction grams (e.g. grams of inulin
#    in garlic) are estimates, not measured USDA values; treat as gaps to be validated, not facts.
# Source (directional): USDA FoodData Central total dietary fiber; framework §5 fiber->source map;
#    published inulin/beta-glucan content ranges (van Loo et al. for inulin/FOS; Monash for FODMAP fibers).
# Format: pipe-delimited. food|fiber|relative_amount|est_grams_per_serving
food|fiber|relative_amount|est_grams_per_serving
Acai Berry|arabinoxylan|minor|1
Acai Berry|pectin|primary|3.5
Adzuki Beans|gos|minor|1
Adzuki Beans|pectin|moderate|2
Adzuki Beans|rs3|primary|4
Alfalfa Sprouts|arabinoxylan|minor|0.4
Alfalfa Sprouts|pectin|minor|0.2
Almond|arabinoxylan|moderate|0.7
Almond|cellulose|primary|2.0
Almond|fos|minor|0.1
Almond|mucilage|minor|0.2
Almond|pectin|minor|0.3
Almond|rs2|minor|0.2
Amaranth|arabinoxylan|primary|2.5
Amaranth|rs3|moderate|1.5
Apple Juice|pectin|minor|0.2
Apple|cellulose|primary|2.8
Apple|pectin|primary|1.5
Apricot|arabinoxylan|minor|0.3
Apricot|cellulose|moderate|0.9
Apricot|pectin|primary|1
Arborio Rice|rs3|primary|0.5
Artichoke|arabinoxylan|minor|0.2
Artichoke|fos|moderate|1.2
Artichoke|inulin|primary|3.8
Artichoke|pectin|minor|0.4
Arugula|arabinoxylan|minor|0.2
Arugula|mucilage|minor|0.1
Arugula|pectin|moderate|0.3
Asparagus|fos|minor|0.6
Asparagus|inulin|moderate|1.5
Avocado|arabinoxylan|moderate|0.9
Avocado|cellulose|moderate|2.2
Avocado|fos|minor|0.2
Avocado|mucilage|minor|0.2
Avocado|pectin|moderate|1.2
Bagel|arabinoxylan|primary|1.5
Bamboo Shoots|arabinoxylan|primary|1.6
Bamboo Shoots|pectin|minor|0.4
Banana Pepper|arabinoxylan|minor|0.2
Banana Pepper|pectin|primary|0.5
Banana|cellulose|primary|2.6
Banana|fos|minor|0.5
Barley|arabinoxylan|moderate|1.5
Barley|beta_glucan|primary|2.5
Barley|cellulose|moderate|1.7
Basil|arabinoxylan|minor|0.1
Basil|mucilage|minor|0.1
Basil|pectin|minor|0.1
Bean Sprouts|arabinoxylan|minor|0.4
Bean Sprouts|pectin|moderate|0.9
Beet|cellulose|primary|1.5
Beet|pectin|minor|0.7
Bell pepper|arabinoxylan|moderate|0.6
Bell pepper|fos|minor|0.2
Bell pepper|pectin|primary|1.2
Black Rice|arabinoxylan|primary|1.5
Black Rice|rs3|moderate|0.7
Black bean|cellulose|primary|5.3
Black bean|gos|primary|2.2
Black pepper|arabinoxylan|minor|0.1
Black pepper|pectin|minor|0.1
Black-Eyed Peas|cellulose|moderate|4.1
Black-Eyed Peas|gos|moderate|1.5
Black-Eyed Peas|pectin|moderate|2
Black-Eyed Peas|rs3|primary|3.5
Blackberry|arabinoxylan|moderate|0.8
Blackberry|cellulose|moderate|1.3
Blackberry|fos|minor|0.2
Blackberry|mucilage|minor|0.2
Blackberry|pectin|primary|1.5
Blueberry|cellulose|primary|1.3
Blueberry|pectin|minor|0.5
Bok choy|arabinoxylan|moderate|0.4
Bok choy|fos|minor|0.1
Bok choy|mucilage|minor|0.1
Bok choy|pectin|moderate|0.5
Brazil nut|arabinoxylan|minor|0.4
Brazil nut|mucilage|minor|0.3
Brazil nut|pectin|minor|0.3
Broccoli Rabe|arabinoxylan|minor|0.4
Broccoli Rabe|pectin|primary|1
Broccolini|arabinoxylan|minor|0.5
Broccolini|pectin|primary|1.2
Broccoli|arabinoxylan|moderate|0.8
Broccoli|fos|minor|0.4
Broccoli|gos|minor|0.3
Broccoli|pectin|primary|1.2
Brown rice|cellulose|moderate|1.4
Brown rice|rs3|moderate|1.5
Brussels sprouts|arabinoxylan|moderate|0.9
Brussels sprouts|fos|moderate|0.6
Brussels sprouts|gos|minor|0.3
Brussels sprouts|pectin|primary|1.5
Buckwheat|arabinoxylan|primary|3.2
Buckwheat|beta_glucan|moderate|0.8
Buckwheat|mucilage|minor|0.5
Buckwheat|rs3|moderate|1.5
Bulgur|arabinoxylan|primary|3.5
Bulgur|cellulose|moderate|4.0
Bulgur|rs3|moderate|0.7
Butter Lettuce|arabinoxylan|minor|0.2
Butter Lettuce|pectin|primary|0.6
Butternut squash|arabinoxylan|moderate|0.6
Butternut squash|fos|minor|0.3
Butternut squash|pectin|primary|1.4
Cabbage|arabinoxylan|moderate|0.6
Cabbage|fos|minor|0.3
Cabbage|gos|minor|0.2
Cabbage|pectin|primary|0.9
Cacao Nibs|arabinoxylan|primary|2.5
Cacao Nibs|pectin|moderate|1
Cantaloupe|cellulose|primary|0.7
Cantaloupe|pectin|primary|0.7
Capers|pectin|primary|0.3
Caraway Seeds|arabinoxylan|primary|0.7
Carrot|cellulose|moderate|0.8
Carrot|pectin|moderate|1.2
Cashew|arabinoxylan|moderate|0.4
Cashew|pectin|minor|0.3
Cashew|rs2|minor|0.2
Cauliflower|arabinoxylan|moderate|0.7
Cauliflower|fos|minor|0.4
Cauliflower|gos|minor|0.2
Cauliflower|pectin|primary|1
Celery|arabinoxylan|moderate|0.4
Celery|mucilage|minor|0.2
Celery|pectin|primary|0.7
Chanterelle Mushroom|arabinoxylan|minor|0.3
Chanterelle Mushroom|beta_glucan|primary|1
Cherry|arabinoxylan|minor|0.5
Cherry|cellulose|moderate|1.2
Cherry|pectin|primary|1.2
Chestnut|arabinoxylan|moderate|1.5
Chestnut|pectin|moderate|1.5
Chia seed|cellulose|moderate|1.7
Chia seed|mucilage|primary|3.5
Chickpea|cellulose|primary|4.4
Chickpea|gos|primary|2.5
Chicory root|inulin|primary|10.0
Chili Powder|arabinoxylan|minor|0.2
Chili Powder|pectin|minor|0.2
Chili pepper|arabinoxylan|minor|0.2
Chili pepper|mucilage|minor|0.1
Chili pepper|pectin|primary|0.5
Chives|fos|minor|0.1
Chives|inulin|minor|0.1
Cilantro|arabinoxylan|minor|0.1
Cilantro|pectin|primary|0.2
Cinnamon|arabinoxylan|moderate|0.5
Cinnamon|mucilage|primary|0.9
Cinnamon|pectin|minor|0.2
Cocoa Powder|inulin|minor|0.5
Cocoa Powder|pectin|minor|0.5
Coconut Flakes|arabinoxylan|moderate|2
Coconut Flakes|pectin|minor|0.5
Coconut|arabinoxylan|primary|2.5
Coconut|pectin|minor|0.5
Collard greens|arabinoxylan|moderate|0.7
Collard greens|gos|minor|0.2
Collard greens|pectin|primary|1.2
Concord grape|arabinoxylan|minor|0.2
Concord grape|inulin|minor|0.1
Concord grape|pectin|primary|0.8
Coriander Seeds|arabinoxylan|primary|0.5
Corn Flakes|arabinoxylan|primary|0.5
Corn Tortilla|arabinoxylan|primary|1.2
Corn Tortilla|cellulose|moderate|1.0
Corn Tortilla|rs2|minor|0.4
Corn|arabinoxylan|primary|1
Corn|cellulose|minor|0.4
Corn|pectin|minor|0.3
Corn|rs2|moderate|0.5
Couscous|arabinoxylan|primary|1.2
Couscous|cellulose|moderate|0.7
Couscous|rs3|minor|0.3
Cranberry|arabinoxylan|minor|0.2
Cranberry|mucilage|minor|0.1
Cranberry|pectin|primary|0.9
Cremini Mushroom|arabinoxylan|minor|0.3
Cremini Mushroom|beta_glucan|primary|1
Cucumber|arabinoxylan|minor|0.1
Cucumber|pectin|primary|0.3
Cumin|arabinoxylan|primary|0.4
Cumin|pectin|minor|0.1
Curry Powder|arabinoxylan|minor|0.2
Curry Powder|pectin|minor|0.1
Dark Chocolate|arabinoxylan|primary|2
Dark Chocolate|cellulose|moderate|1.6
Dark Chocolate|pectin|minor|0.8
Date|arabinoxylan|moderate|0.5
Date|inulin|minor|0.2
Date|pectin|primary|0.9
Dragon Fruit|mucilage|moderate|0.8
Dragon Fruit|pectin|moderate|1
Dried Apricot|arabinoxylan|minor|0.5
Dried Apricot|pectin|primary|1.5
Egg Noodles|arabinoxylan|primary|1.2
Eggplant|arabinoxylan|moderate|0.6
Eggplant|fos|minor|0.2
Eggplant|pectin|primary|1.2
Elderberry|arabinoxylan|minor|0.7
Elderberry|pectin|primary|4.5
Endive|inulin|primary|2.5
Endive|pectin|minor|0.5
