# plants.csv — the master plant list defining the 30/week diversity count (SPEC §5, §13). Natural key: name.
# rarity_tier (common|uncommon|rare|legendary) assigned HEURISTICALLY by dietary commonness for v1
#   (SPEC §13: "Assigned manually in the plants master list for v1; data-driven later"). Tunable by owner/RD.
# description = the field-guide blurb (tap a collected tile). Curated, gut-forward, one line.
#   🔒 FENCE 4 (RD-REVIEW-REQUIRED) where a benefit/mechanism is implied. Never a dose or a cure claim.
# 2026-07-02 round 2: fermented plant foods join the guide as their OWN entries (kimchi is not
#   raw cabbage to your microbes) — see the "Fermented plant foods" block at the bottom.
# Mushrooms (fungi) and sea vegetables (algae) are not botanically plants but count toward the 30,
#   matching the popular framing.
# Format: pipe-delimited. name|scientific_name|plant_family|rarity_tier|description
name|scientific_name|plant_family|rarity_tier|description
Acai Berry|Euterpe oleracea|Arecaceae|uncommon|A small, dark-purple drupe harvested from tall acai palm trees native to the Amazon rainforest of South America. The edible pulp is thin around a large seed and is most commonly consumed as a frozen purée or powder outside its native region.
Adzuki Beans|Vigna angularis|Fabaceae|uncommon|Small, deep-red beans with a white ridge along one side, prized across East Asia for their mildly sweet, nutty flavor. Commonly used in Japanese, Korean, and Chinese desserts and red bean paste.
Agave|Agave tequilana|Asparagaceae|uncommon|A succulent native to Mexico whose core sap is processed into a sweet syrup with a high fructose content. The same plant family also gives us tequila and mezcal.
Alfalfa Sprouts|Medicago sativa|Fabaceae|common|Tiny, delicate sprouts grown from alfalfa seeds with wispy white stems and small pale green leaves. They have a mild, grassy flavour and are commonly used as a topping for sandwiches and salads.
Allspice|Pimenta dioica|Myrtaceae|uncommon|Allspice berries come from a tropical evergreen tree native to the Caribbean and Central America. The dried unripe berries have a complex aroma reminiscent of cloves, cinnamon, and nutmeg combined.
Almond|Prunus dulcis|Rosaceae|uncommon|The skins carry polyphenols and the flesh carries fiber — a handful feeds more than you.
Amaranth|Amaranthus cruentus|Amaranthaceae|uncommon|A broad-leaved annual plant cultivated for its tiny, protein-rich seeds, which range in color from cream to gold to dark red. Native to the Americas, its seeds are cooked like a porridge or popped like miniature popcorn.
Apple|Malus domestica|Rosaceae|common|Pectin in the flesh, quercetin in the peel — the original portable prebiotic.
Apricot|Prunus armeniaca|Rosaceae|common|A small, golden-orange stone fruit with velvety skin and sweet-tart flesh. Consumed fresh in season or dried for year-round use.
Arborio Rice|Oryza sativa var. arborio|Poaceae|common|A short-grain Italian rice cultivar with a high amylopectin starch content, giving it a distinctive creamy texture when cooked. Widely used for risotto and rice pudding.
Artichoke|Cynara cardunculus var. scolymus|Asteraceae|rare|Cynarin plus serious inulin — the fanciest prebiotic on the plate.
Arugula|Eruca vesicaria|Brassicaceae|uncommon|The peppery bite IS the phytochemicals — erucin and friends, straight from the leaf.
Asparagus|Asparagus officinalis|Asparagaceae|uncommon|Spring's prebiotic spear — fructans plus glutathione in a five-minute cook.
Avocado|Persea americana|Lauraceae|uncommon|A fruit that eats like a fat — with more fiber per half than most salads.
Bamboo Shoots|Phyllostachys edulis|Poaceae|uncommon|The young, tender new growth emerging from bamboo rhizomes, harvested before they become woody. They have a subtle, slightly nutty flavour and crunchy texture, and are a staple ingredient in many Asian cuisines.
Banana|Musa acuminata|Musaceae|common|Ripe and sweet feeds you; the greener it is, the more it feeds your microbes.
Banana Pepper|Capsicum annuum var. banana|Solanaceae|common|A long, tapered yellow-green mild chili pepper with a tangy, slightly sweet flavor and minimal heat (0–500 SHU). Frequently eaten fresh, pickled, or stuffed, and popular on sandwiches and pizzas.
Barley|Hordeum vulgare|Poaceae|uncommon|Chewy, nutty, and even richer in beta-glucan than oats — soup's best upgrade.
Basil|Ocimum basilicum|Lamiaceae|common|A handful of leaves is a legitimate plant — rosmarinic acid rides in the aroma.
Bay Leaf|Laurus nobilis|Lauraceae|common|The dried or fresh leaf of the bay laurel tree, used whole to infuse soups, stews, and braises with a subtly floral, herbal flavor. Leaves are typically removed before serving.
Bean Sprouts|Vigna radiata|Fabaceae|common|Germinated mung beans eaten in the early sprout stage, with a crunchy white shoot and small green seed head. A staple in Asian stir-fries and salads, offering a fresh, mild taste with satisfying crispness.
Beet|Beta vulgaris|Amaranthaceae|uncommon|Betalains stain everything for a reason — pigment IS the payload. Roast, grate, or pickle.
Bell pepper|Capsicum annuum|Solanaceae|common|One plant, three colors — red, yellow, and green peppers each lean into different carotenoids.
Black bean|Phaseolus vulgaris|Fabaceae|uncommon|Dark skins mean anthocyanin cousins — pigment and fiber in the same spoonful.
Black pepper|Piper nigrum|Piperaceae|common|Piperine — the everyday grind that helps other compounds (curcumin!) absorb.
