# guilds.csv, full microbial-guild roster (framework §4; SPEC §5). Natural key: internal_name.
# confidence_tag enum: solid|maturing|frontier|emerging|associational
#
# 🔒 FENCE 1 (SPEC §15): the four District 3-4 guilds whose original names implied
#    health/disease claims (Mood Regulators, Estrogen Regulators, Mitochondria
#    Boosters, Tumor Preventors) were RENAMED 2026-08-13 to de-claimed names
#    (Messengers, Alchemists, Spark Tenders, Lignan Weavers) for launch — no
#    visible tag renders (owner, 2026-07-02), so names must stand unqualified.
#    claim_risk=true stays on those rows purely as the RD-review ledger; the
#    internal_name keys are unchanged (DB natural keys, never user-visible).
#
# Source: framework §4 guild roster + confidence tags, verbatim where given.
# Format: pipe-delimited. district_order|internal_name|display_name|function_copy|confidence_tag|feeds_copy|claim_risk|substantiation
district_order|internal_name|display_name|function_copy|confidence_tag|feeds_copy|claim_risk|substantiation
1|anti_inflammatory_arsenal|The Lining Keepers|Butyrate producers (Faecalibacterium, Roseburia) that fuel the gut lining. The backbone crew of a well-fed garden.|solid|Resistant starch, pectin, beta-glucan, oats and beans|false|
1|appetite_crew|The Appetite Crew|Propionate producers (Bacteroides) studied for their role in satiety signalling.|solid|Beta-glucan, barley, arabinoxylan and seaweed|false|
1|base_layer|The Base Layer|Bifidobacteria that acidify the gut, keep the neighborhood friendly and feed everyone else. Base of the pyramid.|solid|Inulin, FOS and GOS, onion, garlic, chicory and legumes|false|
1|recycling_engine|The Recycling Engine|Lactate utilizers (Anaerostipes, E. hallii) that turn lactate into more butyrate and keep the system stable.|solid|Indirect, they eat what the Base Layer makes, so feed the Base Layer|false|
2|locksmith|The Locksmith|Ruminococcus bromii, cracks open resistant-starch particles so everyone else can feed. Without it, RS passes straight through.|solid|Resistant starch, green banana, cooled rice and potato|false|
2|knights_of_the_wall|The Knights of the Wall|Akkermansia muciniphila, keeper of the gut's mucus barrier — one of the most-studied specialists in the field.|maturing|Polyphenols, cranberry, pomegranate, green tea and concord grape|false|
3|vitamin_lab|The Vitamin Lab|Vitamin synthesizers that produce K2, folate, biotin and B12. Where your 30-plants number cashes out into a mechanism.|solid|Overall diversity, the wider your plant range, the busier this lab|false|
3|mood_regulators|The Messengers|Makers of tryptophan and indole compounds — signal molecules on the gut–brain axis, one of the liveliest frontiers in microbiome research.|frontier|Tryptophan-rich foods (oats, seeds, soy) plus fiber|true|[renamed 2026-08-13 from "The Mood Regulators" — name de-claimed for launch] RD-REVIEW-REQUIRED: gut-brain axis is a real and active research field, but a direct food→mood causal claim is unproven in humans. Copy stays associational; never imply the app treats mood.
4|estrogen_regulators|The Alchemists|A rare crew — roughly 1 in 3 people host them — that transmutes soy isoflavones into equol, a compound researchers study with growing interest.|emerging|Soy isoflavones, soybean, tempeh, tofu and miso|true|[renamed 2026-08-13 from "The Estrogen Regulators" — name de-claimed for launch] RD-REVIEW-REQUIRED: equol-producer status is a real metabotype confirmed only by a urine test after a soy challenge, not by tracking intake. Phytoestrogen health effects are emerging, not established. No therapeutic claim.
4|mitochondria_boosters|The Spark Tenders|Urolithin makers: they transform ellagitannins from pomegranate, walnuts and berries into compounds under active study for cellular energy.|emerging|Pomegranate, walnuts and berries|true|[renamed 2026-08-13 from "The Mitochondria Boosters" — name de-claimed for launch] RD-REVIEW-REQUIRED: urolithin-A benefits rest on early human trials and supplement studies, not whole-food outcomes. Producer status is a metabotype, not guaranteed by intake. No therapeutic claim.
4|tumor_preventors|The Lignan Weavers|They weave plant lignans from flax, sesame and rye into enterolignans — one of the most-studied food-to-compound transformations in the gut.|associational|Flax, sesame and rye|true|[renamed 2026-08-13 from "The Tumor Preventors" — cancer-adjacent name removed for launch; FDA/FTC + app-review scrutiny] RD-REVIEW-REQUIRED: enterolignan evidence is associational only; keep all outcome language out of copy.
4|stone_breakers|The Stone Breakers|Oxalate degraders (Oxalobacter) — a small, niche crew with one of the cleanest food-to-function links in the gut.|solid|Niche, they process oxalate from foods like spinach, beet and almond|false|
