# fibers.csv, fermentable fiber types (framework §5 fiber→guild map; SPEC §5). Natural key: name.
# is_fodmap_trigger flags the molecules that are simultaneously top bacterial fuel AND top IBS trigger (SPEC §1).
# fermentability = the coarse tolerance hint (low|moderate|high) the recognition contract carries (CLAUDE.md §4).
# solubility = coarse soluble|insoluble|resistant split for the Your-fiber composition view.
#   🔒 FENCE 2/4 (RD-REVIEW-REQUIRED): coarse placeholder classifications.
#   🔒 FENCE 2 (RD-REVIEW-REQUIRED): placeholder assignments consistent with the notes; a dietitian confirms before launch.
# Source: framework §5; Monash University FODMAP program (which fibers are FODMAPs); USDA dietary-fiber definitions.
# Format: pipe-delimited. name|is_fodmap_trigger|fermentability|solubility|notes
name|is_fodmap_trigger|fermentability|solubility|notes
inulin|true|high|soluble|Fructan. Top bacterial fuel AND classic IBS trigger. Chicory, jerusalem artichoke, onion, garlic.
fos|true|high|soluble|Fructo-oligosaccharide; shorter-chain fructan, distinct from inulin. Onion, garlic, asparagus.
gos|true|high|soluble|Galacto-oligosaccharide. Legumes and some dairy. A FODMAP trigger.
rs2|false|low|resistant|Resistant starch, native granular form. Green banana, raw potato starch, legumes. Slow, distal fermentation (reaches the deep/under-fed colon) — hence "gentle" on the speed axis.
rs3|false|low|resistant|Retrograded resistant starch, formed when cooked starch is cooled. Cooled rice and potato. Slow, distal fermentation — "gentle" on the speed axis.
pectin|false|moderate|soluble|Soluble, gentle, gel-forming. Apple, citrus, carrot. Feeds butyrate producers.
beta_glucan|false|moderate|soluble|Soluble fiber of oats, barley and mushrooms. Feeds propionate producers; lowers cholesterol.
arabinoxylan|false|moderate|insoluble|Major fiber of whole wheat, rye and bran. Commonly overlooked; feeds Base Layer and Appetite Crew.
psyllium|false|low|soluble|Husk fiber. Poorly fermented, so it bulks mechanically rather than feeding much.
mucilage|false|moderate|soluble|Gel fiber of chia, flax and okra. Fermentable; soothes and feeds butyrate producers.
sorbitol|true|high|soluble|Polyol (the P in FODMAP). Stone fruits (plum, prune, cherry, apricot), apple, pear. Osmotic and fast-fermenting.
mannitol|true|high|soluble|Polyol. Mushrooms, cauliflower, celery. Osmotic and fast-fermenting.
