# phytochemicals.csv, representative named compounds across the 9 classes (framework §5; SPEC §5). Natural key: name.
# class is the phyto_class enum: carotenoid|polyphenol|organosulfur|terpene|phytosterol|saponin|alkaloid|chlorophyll|betalain
# maps_to_color_id ties color-visible compounds to the Tier-1 Rainbow tracker (blank = camera-invisible, credited via food-ID lookup).
# Source: USDA Database for the Flavonoid Content of Foods; USDA carotenoid data; Phenol-Explorer (polyphenols).
# Format: pipe-delimited. name|class|maps_to_color_id
name|class|maps_to_color_id
allicin|organosulfur|white_brown
alpha_carotene|carotenoid|orange
alpha_pinene|terpene|green
anthocyanin|polyphenol|blue_purple
asparagoside|saponin|green
avenacoside|saponin|white_brown
avenasterol|phytosterol|white_brown
beta_carotene|carotenoid|orange
beta_cryptoxanthin|carotenoid|orange
beta_sitosterol|phytosterol|white_brown
betanidin|betalain|red
betanin|betalain|red
brassicasterol|phytosterol|green
caffeine|alkaloid|green
campesterol|phytosterol|white_brown
capsaicin|alkaloid|red
carnosic_acid|terpene|green
catechin|polyphenol|green
chavicine|alkaloid|white_brown
chickpea_saponin|saponin|white_brown
chlorogenic_acid|polyphenol|white_brown
chlorophyll|chlorophyll|green
chlorophyll_a|chlorophyll|green
chlorophyll_b|chlorophyll|green
chlorophyllin|chlorophyll|green
curcumin|polyphenol|yellow
diallyl_disulfide|organosulfur|white_brown
ellagic_acid|polyphenol|red
epigallocatechin_gallate|polyphenol|green
eugenol|terpene|white_brown
genistein|polyphenol|white_brown
glucosinolate|organosulfur|green
hesperidin|polyphenol|orange
indicaxanthin|betalain|yellow
isobetanin|betalain|red
kaempferol|polyphenol|yellow
limonene|terpene|orange
linalool|terpene|green
lutein|carotenoid|green
lycopene|carotenoid|red
menthol|terpene|green
naringenin|polyphenol|yellow
pheophytin|chlorophyll|green
piperine|alkaloid|white_brown
punicalagin|polyphenol|red
quercetin|polyphenol|yellow
quinoa_saponin|saponin|white_brown
resveratrol|polyphenol|blue_purple
s_allyl_cysteine|organosulfur|white_brown
secoisolariciresinol|polyphenol|white_brown
solanine|alkaloid|blue_purple
soyasaponin|saponin|white_brown
stigmasterol|phytosterol|white_brown
sulforaphane|organosulfur|green
vulgaxanthin|betalain|yellow
zeaxanthin|carotenoid|yellow
